compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
"Acetic acid, mercapto-, methyl ester",329.15,1,COC(=O)CS,le15,0,0,0,1
"Acrylic acid, 3-chloro-, (Z)- (8CI)",343.25,1,O=C(O)/C=C\Cl,le15,0,0,0,1
"Methanesulfinic acid, 1-amino-1-imino-",441.85,1,N=C(N)S(=O)O,le15,0,0,0,1
"Acetic acid, 2-chloro-, methyl ester",324.85,1,COC(=O)CCl,le15,0,0,0,1
"Propanoic acid, 3-chloro-",398.15,1,O=C(O)CCCl,le15,0,0,0,1
"Carbonochloridic acid, ethyl ester",291.95,1,CCOC(=O)Cl,le15,0,0,0,1
"Propanoic acid, 2-chloro-",380.15,1,CC(Cl)C(=O)O,le15,0,0,0,1
"Phosphonic acid, dimethyl ester",302.594,1,CO[PH](=O)OC,le15,0,0,0,1
"Methanesulfonic acid, methyl ester",377.15,1,COS(C)(=O)=O,le15,0,0,0,1
"2-Propenoic acid, 2-cyano-, methyl ester",340.75,1,C=C(C#N)C(=O)OC,le15,0,0,0,1
2-Furancarboxylic acid,367.35,1,O=C(O)c1ccco1,le15,0,0,0,1
1H-imidazole-5-carboxylic acid,526.35,1,O=C(O)c1cnc[nH]1,le15,0,0,0,1
"Acrylic acid, allyl ester (8CI)",342.35,1,C=CCOC(=O)C=C,le15,0,0,0,1
"2-Butenoic acid, ethenyl ester",300.15,1,C=COC(=O)C=CC,le15,0,0,0,1
"2,4-Hexadienoic acid, (2E,4E)-",400.15,1,C/C=C/C=C/C(=O)O,le15,0,0,0,1
2-chloro-2-fluoroacetic acid,331.75,1,O=C(O)C(F)Cl,le15,0,0,0,1
"Acetic acid, 2,2,2-trifluoro-",270.15,1,O=C(O)C(F)(F)F,le15,0,0,0,1
"Fluorosulfuric acid, methyl ester",283.15,1,COS(=O)(=O)F,le15,0,0,0,1
"Acetic acid, diazo-, ethyl ester",319.15,1,CCOC(=O)C=[N+]=[N-],le15,0,0,0,1
"2-Propenoic acid, 2-methyl-, ethyl ester",288.75,1,C=C(C)C(=O)OCC,le15,0,0,0,1
"Butanoic acid, ethenyl ester (9CI)",299.55,1,C=COC(=O)CCC,le15,0,0,0,1
"2-Butenoic acid, ethyl ester, (E)- (9CI)",275.15,1,C/C=C/C(=O)OCC,le15,0,0,0,1
"Propionic acid, allyl ester (8CI)",306.65,1,C=CCOC(=O)CC,le15,0,0,0,1
