compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
Tetramethyldiethoxysiloxane,311.15,1,CC(C(O[Si]([O])OCC)(C)C)C,chen14,1,1,0,0
Octamethyltrisiloxane,303.15,1,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,chen14,1,1,0,0
Octamethylcyclotetrasilazane,339.15,1,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,chen14,1,1,0,0
Tetrakisdimethylsiloxysilane,340.15,1,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,chen14,1,1,0,0
p-Chlorophenyltrimethylsilane,322.15,1,ClC1=CC=C(C=C1)[Si](C)(C)C,chen14,1,1,0,0
Phenyltrimethoxysilane,358.15,1,C1(=CC=CC=C1)[Si](OC)(OC)OC,chen14,1,1,0,0
Trimethylphenylsilane,313.15,1,C[Si](C1=CC=CC=C1)(C)C,chen14,1,1,0,0
Cyclohexylmethyldimethoxysilane,343.15,1,C1(CCCCC1)C[SiH](OC)OC,chen14,1,1,0,0
Hexyltrimethoxysilane,335.15,1,C(CCCCC)[Si](OC)(OC)OC,chen14,1,1,0,0
Triisopropylsilane,310.15,1,C(C)(C)[SiH](C(C)C)C(C)C,chen14,1,1,0,0
Tri-n-propylsilane,316.15,1,C(CC)[SiH](CCC)CCC,chen14,1,1,0,0
Propyltris(dimethylsiloxy)silane,323.15,1,C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,chen14,1,1,0,0
Benzyltrimethylsilane,335.15,1,C(C1=CC=CC=C1)[Si](C)(C)C,chen14,1,1,0,0
3-Methacryloxypropyltrimethoxysilane,365.15,1,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,chen14,1,1,0,0
1-Heptynyltrimethylsilane,315.15,1,C(#CCCCCC)[Si](C)(C)C,chen14,1,1,0,0
n-Octyldimethylchlorosilane,370.15,1,C(CCCCCCC)[Si](Cl)(C)C,chen14,1,1,0,0
Bis(diethylamino)dimethylsilane,308.15,1,C(C)N(CC)[Si](C)(C)N(CC)CC,chen14,1,1,0,0
Decamethyltetrasiloxane,335.15,1,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419.15,1,C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,chen14,1,1,0,0
n-Decylmethyldichlorosilane,393.15,1,C(CCCCCCCCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Diphenyldichlorosilane,415.15,1,C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,chen14,1,1,0,0
Phenyltriethoxysilane,393.15,1,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,chen14,1,1,0,0
Diphenylsilane,371.15,1,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,chen14,1,1,0,0
"2,4,6,8-Tetravinyl-2,4,6,8-tetramethylcyclotetrasiloxane",385.15,1,C(=C)[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C,chen14,1,1,0,0
n-Dodecyltrichlorosilane,435.15,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Tetra-n-propoxysilane,368.15,1,C(CC)O[Si](OCCC)(OCCC)OCCC,chen14,1,1,0,0
Hexaethyldisiloxane,349.15,1,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,chen14,1,1,0,0
Dodecamethylpentasiloxane,352.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
Methyldiphenylchlorosilane,411.15,1,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,chen14,1,1,0,0
n-Dodecylmethyldichlorosilane,416.15,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Diphenyldimethoxysilane,394.15,1,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,chen14,1,1,0,0
Octyltriethoxysilane,373.15,1,C(CCCCCCC)[Si](OCC)(OCC)OCC,chen14,1,1,0,0
Tetradecamethylhexasiloxane,375.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
n-Octadecyltrichlorosilane,466.15,1,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Octadecamethyloctasiloxane,417.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
Vinyltris(methoxyethoxy)silane,353.15,1,C(=C)[Si](OCCOC)(OCCOC)OCCOC,chen14,1,1,0,0
Trimethyl(vinyloxy)silane,263.15,1,C[Si](OC=C)(C)C,chen14,1,1,0,0
Trichloro(3-cyanopropyl) Silane,365.15,1,Cl[Si](CCCC#N)(Cl)Cl,chen14,1,1,0,0
Trichloro(2-phenylethyl)silane,364.15,1,Cl[Si](CCC1=CC=CC=C1)(Cl)Cl,chen14,1,1,0,0
"Chlorodimethyl(3,3,3-trifluoropropyl) silane",293.15,1,Cl[Si](CCC(F)(F)F)(C)C,chen14,1,1,0,0
Vinylmethylbis (trimethylsiloxy) silane,324.15,1,C(=C)C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,chen14,1,1,0,0
Trichloro(Chloromethyl) silane,342.15,1,Cl[Si](CCl)(Cl)Cl,chen14,1,1,0,0
Dimethyl(pentafluorophenyl) silane,313.15,1,C[SiH](C1=C(C(=C(C(=C1F)F)F)F)F)C,chen14,1,1,0,0
Trichloro(p-chlorophenyl)silane,397.05,1,Cl[Si](C1=CC=C(C=C1)Cl)(Cl)Cl,chen14,1,1,0,0
Trisilane,273.15,1,[SiH3][SiH2][SiH3],chen14,1,1,0,0
