,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
135,135,Dodecamethylcyclohexasiloxane,366.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,chen14
136,136,Methyldiphenylchlorosilane,411.15,1,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,chen14
137,137,n-Dodecylmethyldichlorosilane,416.15,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,chen14
141,141,Hexadecamethylheptasiloxane,406.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
142,142,n-Octadecyltrichlorosilane,466.15,1,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14
143,143,Octadecamethyloctasiloxane,417.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
144,144,Vinyltris(methoxyethoxy)silane,353.15,1,C(=C)[Si](OCCOC)(OCCOC)OCCOC,chen14
145,145,Trimethyl(vinyloxy)silane,263.15,1,C[Si](OC=C)(C)C,chen14
146,146,Trichloro(3-cyanopropyl) Silane,365.15,1,Cl[Si](CCCC#N)(Cl)Cl,chen14
148,148,"Chlorodimethyl(3,3,3-trifluoropropyl) silane",293.15,1,Cl[Si](CCC(F)(F)F)(C)C,chen14
149,149,Vinylmethylbis (trimethylsiloxy) silane,324.15,1,C(=C)C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,chen14
150,150,Trichloro(Chloromethyl) silane,342.15,1,Cl[Si](CCl)(Cl)Cl,chen14
151,151,Dimethyl(pentafluorophenyl) silane,313.15,1,C[SiH](C1=C(C(=C(C(=C1F)F)F)F)F)C,chen14
152,152,Trichloro(p-chlorophenyl)silane,397.05,1,Cl[Si](C1=CC=C(C=C1)Cl)(Cl)Cl,chen14
153,153,Trisilane,273.15,1,[SiH3][SiH2][SiH3],chen14
155,155,Dichloroethylsilane,263.75,1,ClC(C[SiH3])Cl,chen14
156,156,Trichloro(dichlorophenyl)silane,419.15,1,Cl[Si](C1=C(C(=CC=C1)Cl)Cl)(Cl)Cl,chen14
157,157,Tris(trimethylsilyl)silane,328.15,1,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,chen14
158,158,Tris(trimethylsiloxy)silane,323.15,1,C[Si](O[SiH](O[Si](C)(C)C)O[Si](C)(C)C)(C)C,chen14
159,159,Hexadecyltrichlorosilane,427.15,1,C(CCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14
160,160,Dichlorosilane,236.15,1,Cl[SiH2]Cl,chen14
161,161,Dimethyldichlorosilane,257.15,1,C[Si](Cl)(Cl)C,chen14
162,162,Bromomethyldimethylchlorosilane,314.15,1,BrC[Si](Cl)(C)C,chen14
163,163,Trimethylsilane,204.15,1,C[SiH](C)C,chen14
164,164,Dimethylvinylchlorosilane,268.15,1,CC(=C[SiH2]Cl)C,chen14
165,165,"1,3-Dichlorotetramethyldisiloxane",288.15,1,Cl[Si](O[Si](Cl)(C)C)(C)C,chen14
166,166,"1,1,3,3-Tetramethyldisiloxane",251.15,1,C[SiH](O[SiH](C)C)C,chen14
168,168,Allyl Dimethylchlorosilane,278.15,1,C(C=C)[Si](Cl)(C)C,chen14
169,169,sec-Amyltrichlorosilane,303.15,1,C(C)(CCC)[Si](Cl)(Cl)Cl,chen14
172,172,Phenyltrichlorosilane,364.15,1,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,chen14
173,173,Phenyl trifluorosilane,268.15,1,C1(=CC=CC=C1)[Si](F)(F)F,chen14
174,174,Dimethyldiacetoxysilane,310.15,1,C[Si](OC(C)=O)(OC(C)=O)C,chen14
175,175,1-Trimethylsilylpropyne,270.15,1,C[Si](C#CC)(C)C,chen14
176,176,Vinyldimethylethoxysilane,277.15,1,C(=C)[Si](OCC)(C)C,chen14
177,177,Allyloxytrimethylsilane,273.15,1,C(C=C)O[Si](C)(C)C,chen14
178,178,Allyltrimethoxysilane,319.15,1,C(C=C)[Si](OC)(OC)OC,chen14
179,179,3-Chloropropyltrimethoxysilane,348.15,1,ClCCC[Si](OC)(OC)OC,chen14
181,181,Hexamethyldisiloxane,270.15,1,C[Si](O[Si](C)(C)C)(C)C,chen14
184,184,Isobutyltrimethoxysilane,315.15,1,C(C(C)C)[Si](OC)(OC)OC,chen14
185,185,Phenyldimethylchlorosilane,334.15,1,C1(=CC=CC=C1)[Si](Cl)(C)C,chen14
186,186,"(N,N-Dimethylamino)triethylsilane",299.15,1,CN(C)[Si](CC)(CC)CC,chen14
187,187,Vinyltriacetoxysilane,361.15,1,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14
188,188,Ethyltriacetoxysilane,377.15,1,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14
190,190,Vinyltriethylsilane,298.15,1,C(=C)[Si](CC)(CC)CC,chen14
191,191,n-Octylsilane,309.15,1,C(CCCCCCC)[SiH3],chen14
192,192,Methyl phenyldimethoxysilane,349.15,1,C[Si](OC)(OC)C1=CC=CC=C1,chen14
193,193,2-Cyanoethyltriethoxysilane,359.15,1,C(#N)CC[Si](OCC)(OCC)OCC,chen14
194,194,3-Glycidoxypropyltrimethoxysilane,383.15,1,C(C1CO1)OCCC[Si](OC)(OC)OC,chen14
195,195,Di-t-butylmethylchlorosilane,342.15,1,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,chen14
196,196,Tri-n-propylchlorosilane,349.15,1,C(CC)[Si](Cl)(CCC)CCC,chen14
197,197,(Diisopropylamino)trimethylsilane,301.15,1,C(C)(C)N(C(C)C)[Si](C)(C)C,chen14
198,198,1-Chlorononamethyltetrasiloxane,347.15,1,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14
199,199,Tristrimethylsiloxymethylsilane,336.15,1,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,chen14
200,200,Diphenylmethylsilane,393.15,1,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],chen14
201,201,Trimethyl[(1-methylethenyl)oxy]silane,272.15,1,C[Si](OC(=C)C)(C)C,chen14
202,202,"Dichloromethyl-3,3,3-trifluoropropylsilane",288.15,1,ClC(Cl)[SiH2]CCC(F)(F)F,chen14
203,203,[2-(chloromethoxy)ethyl]trimethylsilane,319.15,1,ClCOCC[Si](C)(C)C,chen14
206,206,[3-(mercapto)propyl]triethoxysilane,360.93,1,SCCC[Si](OCC)(OCC)OCC,chen14
