,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
170,170,Hexyldichlorosilane,337.0,1,C(CCCCC)[SiH](Cl)Cl,pan12
171,171,Allyltrimethoxysilane,319.0,1,C(C=C)[Si](OC)(OC)OC,pan12
172,172,3-Chloropropylmethyldimethoxysilane,318.0,1,ClCCC[Si](OC)(OC)C,pan12
173,173,n-Propyltrimethoxysilane,298.0,1,C(CC)[Si](OC)(OC)OC,pan12
174,174,Hexamethyldisiloxane,270.0,1,C[Si](O[Si](C)(C)C)(C)C,pan12
175,175,Hexamethyldisilazane,281.0,1,C[Si](N[Si](C)(C)C)(C)C,pan12
176,176,Methyltriacetoxysilane,358.0,1,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,pan12
178,178,(1-Methoxy-2-propoxy)trimethylsilane,293.0,1,COCC(C)O[Si](C)(C)C,pan12
179,179,Heptamethyldisilazane,300.0,1,C[Si](N([Si](C)(C)C)C)(C)C,pan12
180,180,Vinyltriacetoxysilane,361.0,1,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,pan12
181,181,(Cyclopentenyloxy)trimethylsilane,311.0,1,C1(=CCCC1)O[Si](C)(C)C,pan12
182,182,Tetramethyldivinyldisiloxane,292.0,1,C[Si](O[Si](C=C)(C=C)C)(C)C,pan12
183,183,Diethyldiethoxysilane,316.0,1,C(C)[Si](OCC)(OCC)CC,pan12
185,185,Tri-n-propylchlorosilane,349.0,1,C(CC)[Si](Cl)(CCC)CCC,pan12
186,186,Tris(trimethylsiloxy)boron,315.0,1,C[Si](OB(O[Si](C)(C)C)O[Si](C)(C)C)(C)C,pan12
188,188,Tristrimethylsiloxymethylsilane,336.0,1,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,pan12
190,190,Tetra-n-propoxysilane,368.0,1,C(CC)O[Si](OCCC)(OCCC)OCCC,pan12
192,192,Hexadecamethylheptasiloxane,406.0,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,pan12
